"Theta [deg]","dB(RealizedGainTotal) [] - Freq='3.2GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal)_1 [] - Freq='3.2GHz' Theta='90deg'"
265,,2.61618445681283
266,,2.63188174020264
267,,2.64413766652949
268,,2.65280966758005
269,,2.65779630846442
270,,2.65903694335253
271,,2.65651137153549
272,,2.65023953304955
273,,2.64028126305422
274,,2.6267361036142
275,,2.60974315100443
276,,2.58948089666549
277,,2.56616700104474
278,,2.54005792236757
279,,2.51144830753605
280,,2.4806700405376
281,,2.44809083569193
282,,2.41411225952886
283,,2.37916706684611
284,,2.3437157443037
285,,2.30824216947726
286,,2.2732483152121
287,,2.23924795880282
288,,2.20675939309221
289,,2.17629718174732
290,,2.14836305288882
291,,2.12343608237814
292,,2.10196237802939
293,,2.08434453552827
294,,2.07093119173928
295,,2.06200704647502
296,,2.05778375442768
297,,2.05839209972337
298,,2.06387585221648
299,,2.07418766456696
300,,2.08918730203245
301,,2.10864240523055
302,,2.13223187524609
303,,2.15955184825248
304,,2.19012410287276
305,,2.2234066279414
306,,2.25880598048675
307,,2.29569099098393
308,,2.3334073296956
309,,2.37129243540046
310,,2.40869032401031
311,,2.44496583490356
312,,2.47951793094931
313,,2.51179173714364
314,,2.54128907573641
315,,2.56757732686817
316,,2.59029650867864
317,,2.60916452684183
318,,2.62398058936578
319,,2.63462681847296
320,,2.64106811868955
321,,2.64335038082881
322,,2.64159711756639
323,,2.63600463996637
324,,2.62683589752918
325,,2.61441311850615
326,,2.59910940314377
327,,2.58133944027085
328,,2.56154953662146
329,,2.54020716728081
330,,2.51779027295918
331,,2.49477654348454
332,,2.47163293497002
333,,2.44880566880202
334,,2.42671095262688
335,,2.40572664626736
336,,2.38618506913271
337,,2.36836711114063
338,,2.35249776809249
339,,2.33874317700464
340,,2.32720917956438
341,,2.31794139515736
342,,2.31092674112378
343,,2.30609629898911
344,,2.30332939284023
345,,2.30245872069837
346,,2.30327636207282
347,,2.30554047478894
348,,2.30898249120849
349,,2.31331462733281
350,,2.31823752702059
351,,2.32344787654308
352,,2.32864584075717
353,,2.33354219011471
354,,2.3378650064164
355,,2.34136587363951
356,,2.34382547745604
357,,2.34505855253585
358,,2.34491812993242
359,,2.34329904753463
360,,2.3401406947043
