"Theta [deg]","dB(GainTotal) [] - Freq='2.9GHz' Phi='0deg'","dB(GainTotal) [] - Freq='2.9GHz' Phi='90.0000000000002deg'"
106,-8.91664697227215,-13.4498191262844
107,-9.11434828938479,-12.8323922124536
108,-9.3160413005122,-12.2259631957883
109,-9.522544682533,-11.6332708726119
110,-9.734587507022,-11.0563727609036
111,-9.95274419335286,-10.4967869234124
112,-10.1773573612454,-9.95561094563052
113,-10.4084481051749,-9.43361943118687
114,-10.6456142129893,-8.9313426605663
115,-10.8879187308012,-8.44912942541618
116,-11.1337744423569,-7.98719693790414
117,-11.380834672278,-7.54567038658182
118,-11.6259074856009,-7.12461431466724
119,-11.8649183267249,-6.72405760938802
120,-12.0929536346496,-6.34401354614297
121,-12.3044213486581,-5.9844960401434
122,-12.4933580239082,-5.64553302084739
123,-12.6538908638257,-5.32717765578838
124,-12.780824408852,-5.02951800355224
125,-12.8702727984169,-4.75268556394987
126,-12.9202175374855,-4.49686311097067
127,-12.9308611570778,-4.26229213609736
128,-12.9046838510674,-4.04928019239664
129,-12.8461851757244,-3.85820841098947
130,-12.7613757146461,-3.68953945966159
131,-12.6571388593104,-3.54382622821453
132,-12.5405920233138,-3.4217215575698
133,-12.4185461394253,-3.32398938188014
134,-12.2971141182856,-3.25151772892762
135,-12.1814747156302,-3.20533413010656
136,-12.0757695654554,-3.1866241366268
137,-11.9830990940278,-3.19675383701463
138,-11.9055828559061,-3.23729754286355
139,-11.8444555724584,-3.3100721852049
140,-11.8001772398184,-3.41718048786678
141,-11.7725415351985,-3.56106572495223
142,-11.7607704295226,-3.7445819318578
143,-11.7635844757016,-3.97108498667293
144,-11.779238331874,-4.24455227140096
145,-11.8055106998184,-4.56974208142771
146,-11.8396383194301,-4.95240927264412
147,-11.8781866438226,-5.39960198991315
148,-11.9168574979467,-5.92007771608421
149,-11.9502490576831,-6.52489880598102
150,-11.9716085120739,-7.22830419649301
151,-11.9726535849763,-8.04901538402289
152,-11.9435805792055,-9.01223638276478
153,-11.8734065773053,-10.152760492404
154,-11.7507786517478,-11.5197341737116
155,-11.5652833818636,-13.1831376607792
156,-11.3090931153946,-15.2368197651469
157,-10.9785544515479,-17.7559061459876
158,-10.5752048963792,-20.444554260577
159,-10.105829974579,-21.4653410424957
160,-9.58152463773219,-19.441877087153
161,-9.01609675030412,-16.6018181403225
162,-8.42432475175351,-14.1331198569157
163,-7.82049959183323,-12.1174473072645
164,-7.21745911959504,-10.4608091143268
165,-6.62611428140348,-9.07760676079695
166,-6.05534997734783,-7.90650377861457
167,-5.5121564742924,-6.90469660447809
168,-5.0018713344751,-6.04191191993653
169,-4.52845130560983,-5.2962751301842
170,-4.09472894332322,-4.65164518464399
171,-3.70263358875788,-4.09589596395325
172,-3.35337126704242,-3.61978915923097
173,-3.04756588138247,-3.21621953609321
174,-2.78536749388432,-2.87969946736841
175,-2.56653451265146,-2.60600110366962
176,-2.39049650100644,-2.39190528031339
177,-2.25640378819357,-2.23502487956209
178,-2.16316943028642,-2.13368191902789
179,-2.10950846627063,-2.08682502180389
180,-2.09397883183325,-2.09397883183324
